player_id,player_name,bat_style,bowl_style,field_pos,player_full_name,player_name2,player_image
16007,JJ van der Wath,Right hand Bat,Right arm Medium fast,Unknown,Johannes Jacobus van der Wath,Johannes Jacobus,No Image
13882,GJ Bailey,Right hand Bat,Right arm Medium,Unknown,George John Bailey,George John,No Image
2719,JM Bairstow,Right hand Bat,Right arm Medium,Wicketkeeper,Jonathan Marc Bairstow,Jonathan Marc,No Image
66,TA Boult,Right hand Bat,Left arm Fast medium,Unknown,Trent Alexander Boult,Trent Alexander,No Image
258,CJ Anderson,Left hand Bat,Left arm Medium fast,Unknown,Corey James Anderson,Corey James,No Image
7036,Ramandeep Singh,Right hand Bat,Right arm Medium,Unknown,Ramandeep Singh,Ramandeep Singh,https://www.espncricinfo.com/cricketers/ramandeep-singh-1079470
24,JC Buttler,Right hand Bat,Unknown,Wicketkeeper,Joseph Charles Buttler,Joseph Charles,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Jos%20Buttler.png
35239,BW Hilfenhaus,Right hand Bat,Right arm Fast medium,Unknown,Benjamin William Hilfenhaus,Benjamin William,No Image
5955,DJ Malan,Left hand Bat,Legbreak,Unknown,Dawid Johannes Malan,Dawid Johannes,No Image
12107,GC Smith,Left hand Bat,Right arm Offbreak,Unknown,Graeme Craig Smith,Graeme Craig,No Image
438,JD Unadkat,Right hand Bat,Left arm Medium,Unknown,Jaydev Dipakbhai Unadkat,Jaydev Dipakbhai,No Image
2947,MJ Santner,Left hand Bat,Slow Left arm Orthodox,Unknown,Mitchell Josef Santner,Mitchell Josef,No Image
348,RA Jadeja,Left hand Bat,Slow Left arm Orthodox,Unknown,Ravindrasinh Anirudhsinh Jadeja,Ravindrasinh Anirudhsinh,No Image
16529,M Klinger,Right hand Bat,Unknown,Unknown,Michael Klinger,Michael Klinger,No Image
12193,DNT Zoysa,Left hand Bat,Left arm Fast medium,Unknown,Demuni Nuwan Tharanga Zoysa,Demuni Nuwan,No Image
35322,PA Reddy,Right hand Bat,Legbreak,Unknown,Produturi Akshath Reddy,Produturi Akshath,No Image
13271,FH Edwards,Right hand Bat,Right arm Fast,Unknown,Fidel Henderson Edwards,Fidel Henderson,No Image
14353,Mohammad Ashraful,Right hand Bat,"Right arm Offbreak, Legbreak",Unknown,Mohammad Ashraful,Mohammad Ashraful,No Image
12315,Salman Butt,Left hand Bat,Right arm Offbreak,Unknown,Salman Butt,Salman Butt,No Image
9044,Abdul Basith,Right hand Bat,Right arm Offbreak,Unknown,Pappanayil Abdul Basith,Pappanayil Abdul,No Image
4274,JDS Neesham,Left hand Bat,Right arm Medium fast,Unknown,James Douglas Sheahan Neesham,James Douglas,No Image
11942,ML Hayden,Left hand Bat,Right arm Medium,Unknown,Matthew Lawrence Hayden,Matthew Lawrence,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/319700/319706.png"
637,SS Agarwal,Right hand Bat,Legbreak Googly,Unknown,Shubham Sanjay Agarwal,Shubham Sanjay,No Image
33,JJ Bumrah,Right hand Bat,Right arm Fast,Unknown,Jasprit Jasbirsingh Bumrah,Jasprit Jasbirsingh,No Image
34931,A Chandila,Right hand Bat,Right arm Offbreak,Unknown,Ajit  Chandila,Ajit  Chandila,No Image
697,DM Bravo,Left hand Bat,Right arm Medium,Occasional Wicketkeeper,Darren Michael Bravo,Darren Michael,No Image
7077,HE van der Dussen,Right hand Bat,Legbreak,Unknown,Hendrik Erasmus van der Dussen,Hendrik Erasmus,No Image
2934,P Ray Barman,Right hand Bat,Legbreak Googly,Unknown,Prayas Ray Barman,Prayas Ray,No Image
2760,Rasikh Salam,Right hand Bat,Right arm Medium,Unknown,Rasikh Salam Dar,Rasikh Salam,No Image
14729,AC Voges,Right hand Bat,Slow Left arm Orthodox,Unknown,Adam Charles Voges,Adam Charles,No Image
1436,RK Singh,Left hand Bat,Right arm Offbreak,Unknown,Rinku Khanchand Singh,Rinku Khanchand,No Image
1421,Q de Kock,Left hand Bat,Unknown,Wicketkeeper,Quinton de Kock,Quinton de,No Image
12523,L Balaji,Right hand Bat,Right arm Medium fast,Unknown,Lakshmipathy Balaji,Lakshmipathy Balaji,No Image
6999,B Sai Sudharsan,Left hand Bat,Legbreak,Unknown,Bhardwaj Sai Sudharsan,Bhardwaj Sai,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Sai%20Sudharsan.png
5980,PWH de Silva,Right hand Bat,Legbreak,Unknown,Pinnaduwage Wanindu Hasaranga de Silva,Pinnaduwage Wanindu,No Image
11990,AM Nayar,Left hand Bat,Right arm Medium,Unknown,Abhishek Mohan Nayar,Abhishek Mohan,No Image
14505,MS Bisla,Right hand Bat,Unknown,Wicketkeeper,Manvinder Sultansingh Bisla,Manvinder Sultansingh,No Image
12009,VVS Laxman,Right hand Bat,Right arm Offbreak,Unknown,Vangipurappu Venkata Sai Laxman,Vangipurappu Venkata,No Image
6795,D Pretorius,Right hand Bat,Right arm Medium fast,Unknown,Dwaine Pretorius,Dwaine Pretorius,No Image
38322,VH Zol,Left hand Bat,Right arm Offbreak,Unknown,Vijay Hari Zol,Vijay Hari,No Image
12093,VS Yeligati,Right hand Bat,Right arm Offbreak,Unknown,Vikrant Shyam Yeligati,Vikrant Shyam,No Image
5408,JA Richardson,Right hand Bat,Right arm Fast,Unknown,Jhye Avon Richardson,Jhye Avon,No Image
4071,D Padikkal,Left hand Bat,Right arm Offbreak,Unknown,Devdutt Padikkal,Devdutt Padikkal,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026
15507,AG Paunikar,Right hand Bat,Unknown,Wicketkeeper,Amit Gajanan Paunikar,Amit Gajanan,No Image
11985,L Ronchi,Right hand Bat,Unknown,Wicketkeeper,Luke Ronchi,Luke Ronchi,No Image
34,AM Rahane,Right hand Bat,Right arm Medium,Unknown,Ajinkya Madhukar Rahane,Ajinkya Madhukar,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ajinkya%20Rahane.png
13402,RR Bose,Right hand Bat,Right arm Fast medium,Unknown,Ranadeb Ranjit Bose,Ranadeb Ranjit,No Image
36213,R Rampaul,Left hand Bat,Right arm Fast medium,Unknown,Ravindranath Rampaul,Ravindranath Rampaul,No Image
12535,A Chopra,Right hand Bat,"Right arm Medium, Right arm Offbreak",Unknown,Aakash Chopra,Aakash Chopra,No Image
11930,R Dravid,Right hand Bat,Right arm Offbreak,Occasional Wicketkeeper,Rahul Sharad Dravid,Rahul Sharad,No Image
13973,C Nanda,Right hand Bat,Legbreak,Unknown,Chetanya Nanda,Chetanya Nanda,No Image
4099,Abdul Samad,Right hand Bat,Legbreak,Unknown,Abdul Samad Farooq,Abdul Samad,https://www.espncricinfo.com/cricketers/abdul-samad-1175485
3284,LS Livingstone,Right hand Bat,"Right arm Offbreak, Legbreak",Unknown,Liam Stephen Livingstone,Liam Stephen,No Image
7365,HR Shokeen,Right hand Bat,Right arm Offbreak,Unknown,Hrithik Rakesh Shokeen,Hrithik Rakesh,No Image
7172,Yash Dayal,Right hand Bat,Left arm Medium fast,Unknown,Yash Dayal,Yash Dayal,https://www.espncricinfo.com/cricketers/yash-dayal-1159720
38691,Karanveer Singh,Right hand Bat,Legbreak Googly,Unknown,Karanveer Singh,Karanveer Singh,No Image
15472,C Madan,Right hand Bat,Unknown,Wicketkeeper,Chandan Madan,Chandan Madan,No Image
10,YS Chahal,Right hand Bat,Legbreak Googly,Unknown,Yuzvendra Singh Chahal,Yuzvendra Singh,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Yuzvendra%20Chahal.png
16382,JE Taylor,Right hand Bat,Right arm Fast,Unknown,Jerome Everton Taylor,Jerome Everton,No Image
11931,W Jaffer,Right hand Bat,Right arm Offbreak,Unknown,Wasim Jaffer,Wasim Jaffer,No Image
14,MC Henriques,Right hand Bat,Right arm Fast medium,Unknown,Moises Constantino Henriques,Moises Constantino,No Image
11936,B Akhil,Right hand Bat,Right arm Medium fast,Unknown,Balachandra Akhil,Balachandra Akhil,No Image
1120,MJ Henry,Right hand Bat,Right arm Fast medium,Unknown,Matthew James Henry,Matthew James,No Image
64,Kuldeep Yadav,Left hand Bat,Left arm Wrist spin,Unknown,Kuldeep Yadav,Kuldeep Yadav,https://www.espncricinfo.com/cricketers/kuldeep-yadav-559235
11975,V Sehwag,Right hand Bat,Right arm Offbreak,Unknown,Virender Sehwag,Virender Sehwag,No Image
12017,PP Ojha,Left hand Bat,Slow Left arm Orthodox,Unknown,Pragyan Prayash Ojha,Pragyan Prayash,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322600/322694.1.png"
8356,NA Saini,Right hand Bat,Right arm Fast,Unknown,Navdeep Amarjeet Saini,Navdeep Amarjeet,No Image
12345,M Ntini,Right hand Bat,Right arm Fast,Unknown,Makhaya Ntini,Makhaya Ntini,No Image
18,NV Ojha,Right hand Bat,Unknown,Wicketkeeper,Naman Vinaykumar Ojha,Naman Vinaykumar,No Image
34272,RE Levi,Right hand Bat,Right arm Medium,Unknown,Richard Ernst Levi,Richard Ernst,No Image
14478,R McLaren,Left hand Bat,Right arm Medium fast,Unknown,Ryan McLaren,Ryan McLaren,No Image
15745,ND Doshi,Right hand Bat,Slow Left arm Orthodox,Unknown,Nayan Dilip Doshi,Nayan Dilip,No Image
26,N Rana,Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak",Unknown,Nitish Rana,Nitish Rana,https://www.espncricinfo.com/cricketers/nitish-rana-604527
12795,RV Pawar,Left hand Bat,Slow Left arm Orthodox,Unknown,Rajesh Vithal Pawar,Rajesh Vithal,No Image
8425,Yash Thakur,Right hand Bat,Right arm Fast medium,Unknown,Yash Ravisingh Thakur,Yash Ravisingh,No Image
13698,SM Harwood,Right hand Bat,Right arm Fast medium,Unknown,Shane Michael Harwood,Shane Michael,No Image
1,CH Gayle,Left hand Bat,Right arm Offbreak,Unknown,Christopher Henry Gayle,Christopher Henry,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Chris%20Gayle.png
11962,S Sreesanth,Right hand Bat,Right arm Fast medium,Unknown,Shanthakumaran Sreesanth,Shanthakumaran Sreesanth,No Image
15807,AL Menaria,Left hand Bat,Slow Left arm Orthodox,Unknown,Ashok Lakshminarayan Menaria,Ashok Lakshminarayan,No Image
2023,KM Asif,Right hand Bat,Right arm Medium,Unknown,KM Asif,KM Asif,No Image
2766,N Pooran,Left hand Bat,Right arm Offbreak,Wicketkeeper,Nicholas Pooran,Nicholas Pooran,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Nicholas%20Pooran.png
8953,Mayank Dagar,Right hand Bat,Slow Left arm Orthodox,Unknown,Mayank J Dagar,Mayank J,No Image
9748,MD Shanaka,Right hand Bat,Right arm Medium,Unknown,Madagamagamage Dasun Shanaka,Madagamagamage Dasun,No Image
